SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
350,10000010,00000000,10000010,00000000,00000000,10000010,10000010,00000000,10000010,00100011,AC400000,0,2,0
355,10000010,00000000,10000010,00000000,00000000,10000010,10000010,00000000,10000010,00100011,AC400000,0,2,1
360,10000014,10000010,10000010,00000006,10000010,10000014,10000014,00000004,10000010,00100012,20420004,0,2,0
365,10000014,10000010,10000010,00000006,10000010,10000014,10000014,00000004,10000010,00100012,20420004,0,2,1
370,FFFFFFEC,10000028,10000014,000002BC,10000028,FFFFFFEC,FFFFFFEC,10000028,10000014,00100013,1447FFF9,1,6,0
375,FFFFFFEC,10000028,10000014,000002BC,10000028,FFFFFFEC,FFFFFFEC,10000028,10000014,00100013,1447FFF9,1,6,1
380,00000006,00000005,10000014,00000006,00000005,10000014,10000014,00000000,10000014,0010000D,8C430000,0,2,0
385,00000006,00000005,10000014,00000006,00000005,10000014,10000014,00000000,10000014,0010000D,8C430000,0,2,1
390,00000000,00000006,00000044,00000006,00000006,00000000,00000000,00000006,00000044,0010000E,00C3202A,4,7,0
395,00000000,00000006,00000044,00000006,00000006,00000000,00000000,00000006,00000044,0010000E,00C3202A,4,7,1
400,FFFFFFFF,00000001,00000000,00000006,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
405,FFFFFFFF,00000001,00000000,00000006,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
410,0000003E,00000006,00000044,00000006,00000006,0000003E,0000003E,00000006,00000044,00100010,00C33022,4,6,0
415,0000003E,00000006,00000044,00000006,00000006,0000003E,0000003E,00000006,00000044,00100010,00C33022,4,6,1
420,10000014,00000000,10000014,00000000,00000000,10000014,10000014,00000000,10000014,00100011,AC400000,0,2,0
425,10000014,00000000,10000014,00000000,00000000,10000014,10000014,00000000,10000014,00100011,AC400000,0,2,1
430,10000018,10000014,10000014,00000190,10000014,10000018,10000018,00000004,10000014,00100012,20420004,0,2,0
435,10000018,10000014,10000014,00000190,10000014,10000018,10000018,00000004,10000014,00100012,20420004,0,2,1
440,FFFFFFF0,10000028,10000018,00000000,10000028,FFFFFFF0,FFFFFFF0,10000028,10000018,00100013,1447FFF9,1,6,0
445,FFFFFFF0,10000028,10000018,00000000,10000028,FFFFFFF0,FFFFFFF0,10000028,10000018,00100013,1447FFF9,1,6,1
450,00000190,00000006,10000018,00000190,00000006,10000018,10000018,00000000,10000018,0010000D,8C430000,0,2,0
455,00000190,00000006,10000018,00000190,00000006,10000018,10000018,00000000,10000018,0010000D,8C430000,0,2,1
460,00000001,00000190,0000003E,00000190,00000190,00000001,00000001,00000190,0000003E,0010000E,00C3202A,4,7,0
465,00000001,00000190,0000003E,00000190,00000190,00000001,00000001,00000190,0000003E,0010000E,00C3202A,4,7,1
470,00000000,00000001,00000001,00000190,00000001,00000000,00000000,00000001,00000001,0010000F,10850002,1,6,0
475,00000000,00000001,00000001,00000190,00000001,00000000,00000000,00000001,00000001,0010000F,10850002,1,6,1
480,1000001C,10000018,10000018,00000001,10000018,1000001C,1000001C,00000004,10000018,00100012,20420004,0,2,0
485,1000001C,10000018,10000018,00000001,10000018,1000001C,1000001C,00000004,10000018,00100012,20420004,0,2,1
490,FFFFFFF4,10000028,1000001C,00000000,10000028,FFFFFFF4,FFFFFFF4,10000028,1000001C,00100013,1447FFF9,1,6,0
495,FFFFFFF4,10000028,1000001C,00000000,10000028,FFFFFFF4,FFFFFFF4,10000028,1000001C,00100013,1447FFF9,1,6,1
500,00000001,00000190,1000001C,00000001,00000190,1000001C,1000001C,00000000,1000001C,0010000D,8C430000,0,2,0
505,00000001,00000190,1000001C,00000001,00000190,1000001C,1000001C,00000000,1000001C,0010000D,8C430000,0,2,1
510,00000000,00000001,0000003E,00000001,00000001,00000000,00000000,00000001,0000003E,0010000E,00C3202A,4,7,0
515,00000000,00000001,0000003E,00000001,00000001,00000000,00000000,00000001,0000003E,0010000E,00C3202A,4,7,1
520,FFFFFFFF,00000001,00000000,00000001,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
525,FFFFFFFF,00000001,00000000,00000001,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
530,0000003D,00000001,0000003E,00000001,00000001,0000003D,0000003D,00000001,0000003E,00100010,00C33022,4,6,0
535,0000003D,00000001,0000003E,00000001,00000001,0000003D,0000003D,00000001,0000003E,00100010,00C33022,4,6,1
540,1000001C,00000000,1000001C,00000000,00000000,1000001C,1000001C,00000000,1000001C,00100011,AC400000,0,2,0
