SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
3370,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,0
3375,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,1
3380,10000018,00000008,10000018,00000008,00000008,10000018,10000018,00000000,10000018,00100011,AC410000,0,2,0
3385,10000018,00000008,10000018,00000008,00000008,10000018,10000018,00000000,10000018,00100011,AC410000,0,2,1
3390,10000020,00000009,10000020,00000009,00000009,10000020,10000020,00000000,10000020,00100012,AC670000,0,2,0
3395,10000020,00000009,10000020,00000009,00000009,10000020,10000020,00000000,10000020,00100012,AC670000,0,2,1
3400,00000008,00000000,00000008,00000009,00000000,00000008,00000008,00000000,00000008,00100013,00203820,4,2,0
3405,00000008,00000000,00000008,00000009,00000000,00000008,00000008,00000000,00000008,00100013,00203820,4,2,1
3410,10000024,10000020,10000020,00000007,10000020,10000024,10000024,00000004,10000020,00100014,20630004,0,2,0
3415,10000024,10000020,10000020,00000007,10000020,10000024,10000024,00000004,10000020,00100014,20630004,0,2,1
3420,FFFFFFFC,10000028,10000024,00000008,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100015,1465FFF8,1,6,0
3425,FFFFFFFC,10000028,10000024,00000008,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100015,1465FFF8,1,6,1
3430,00000007,00000008,10000024,00000007,00000008,10000024,10000024,00000000,10000024,0010000E,8C610000,0,2,0
3435,00000007,00000008,10000024,00000007,00000008,10000024,10000024,00000000,10000024,0010000E,8C610000,0,2,1
3440,00000000,00000007,00000008,00000000,00000007,00000000,00000000,00000007,00000008,0010000F,00E1302A,4,7,0
3445,00000000,00000007,00000008,00000000,00000007,00000000,00000000,00000007,00000008,0010000F,00E1302A,4,7,1
3450,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,0
3455,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,1
3460,10000018,00000007,10000018,00000007,00000007,10000018,10000018,00000000,10000018,00100011,AC410000,0,2,0
3465,10000018,00000007,10000018,00000007,00000007,10000018,10000018,00000000,10000018,00100011,AC410000,0,2,1
3470,10000024,00000008,10000024,00000008,00000008,10000024,10000024,00000000,10000024,00100012,AC670000,0,2,0
3475,10000024,00000008,10000024,00000008,00000008,10000024,10000024,00000000,10000024,00100012,AC670000,0,2,1
3480,00000007,00000000,00000007,00000008,00000000,00000007,00000007,00000000,00000007,00100013,00203820,4,2,0
